,displacement,cylinders,horsepower,weight,acceleration,model_year,origin,mpg
0,307.0,8,130.0,3504,12.0,70,1,18.0
1,350.0,8,165.0,3693,11.5,70,1,15.0
2,318.0,8,150.0,3436,11.0,70,1,18.0
3,304.0,8,150.0,3433,12.0,70,1,16.0
4,302.0,8,140.0,3449,10.5,70,1,17.0
5,429.0,8,198.0,4341,10.0,70,1,15.0
6,454.0,8,220.0,4354,9.0,70,1,14.0
7,440.0,8,215.0,4312,8.5,70,1,14.0
8,455.0,8,225.0,4425,10.0,70,1,14.0
9,390.0,8,190.0,3850,8.5,70,1,15.0
10,383.0,8,170.0,3563,10.0,70,1,15.0
11,340.0,8,160.0,3609,8.0,70,1,14.0
12,400.0,8,150.0,3761,9.5,70,1,15.0
13,455.0,8,225.0,3086,10.0,70,1,14.0
14,113.0,4,95.0,2372,15.0,70,3,24.0
15,198.0,6,95.0,2833,15.5,70,1,22.0
16,199.0,6,97.0,2774,15.5,70,1,18.0
17,200.0,6,85.0,2587,16.0,70,1,21.0
18,97.0,4,88.0,2130,14.5,70,3,27.0
19,97.0,4,46.0,1835,20.5,70,2,26.0
20,110.0,4,87.0,2672,17.5,70,2,25.0
21,107.0,4,90.0,2430,14.5,70,2,24.0
22,104.0,4,95.0,2375,17.5,70,2,25.0
23,121.0,4,113.0,2234,12.5,70,2,26.0
24,199.0,6,90.0,2648,15.0,70,1,21.0
25,360.0,8,215.0,4615,14.0,70,1,10.0
26,307.0,8,200.0,4376,15.0,70,1,10.0
27,318.0,8,210.0,4382,13.5,70,1,11.0
28,304.0,8,193.0,4732,18.5,70,1,9.0
29,97.0,4,88.0,2130,14.5,71,3,27.0
30,140.0,4,90.0,2264,15.5,71,1,28.0
31,113.0,4,95.0,2228,14.0,71,3,25.0
32,98.0,4,,2046,19.0,71,1,25.0
33,232.0,6,100.0,2634,13.0,71,1,19.0
34,225.0,6,105.0,3439,15.5,71,1,16.0
35,250.0,6,100.0,3329,15.5,71,1,17.0
36,250.0,6,88.0,3302,15.5,71,1,19.0
